"入庫番号","ステータス","状態","引取完了日","依頼元","車名","認定型式","車台番号","年式","車色","見積金額","登録番号１","登録番号２","登録番号３","登録番号４","NO","車証","印証","委任","譲渡","自賠","返却部品","営業担当者","入庫場所","引取車輌番号","自社管理番号"
"1800224","通常","入庫済","2018/05/29","トヨペット営業","ﾑｰﾌﾞ･ｶｽﾀﾑ","UA-L150S","L150S-0118987","200401","ﾑﾗｻｷ","14000","熊本","53","こ","5212","有","有","無","無","無","無","","","","091800H18000224","300106"
"1800103","通常","入庫済","2018/03/26","プリンス八代営業","ｳﾞｨｯﾂ","GH-SCP10","SCP10-5038019","200006","ｺﾝ","23000","熊本","501","ひ","507","有","有","有","有","有","無","","","","091800H18000103","300369"
"1800126","通常","入庫済","2018/04/06","中山輪業","ﾐﾆｷｬﾌﾞ","V-U41T","U41T-0138095","199311","ｼﾛ","14000","熊本","41","ね","7340","無","抹消コピー","無","無","無","無","","","","091800H18000126","300415"
"1800099","通常","入庫済","2018/03/29","（株）カーライフ","ﾑｰﾌﾞ","E-L600S","L600S-006810","199511","ｺﾝ","14000","熊本","580","つ","9456","無","抹消原本","無","無","無","無","","","","091800H18000099","300380"
"1800640","通常","入庫済","2018/12/27","日産人吉　営業","ｻﾝﾊﾞｰ","V-KS4","KS4-154052","199307","ｼﾛ","15000","熊本","41","こ","3858","有","有","無","無","無","無","","","","091800H18000641","301269"
"1900263","通常","入庫済","2019/04/11","日産人吉　営業","AD","CBE-VFY11","VFY11-714829","200611","ｼﾛ","20000","熊本","400","つ","7233","無","無","無","無","無","無","","","","091800H19000263","310426"
"1900007","通常","入庫済","2019/01/08","（株）カーライフ","ﾑｰﾌﾞ･ｶｽﾀﾑ","UA-L150S","L150S-1050694","200401","ｷﾝ","16200","熊本","580","ひ","2461","有","有","無","無","無","無","","","","091800H19000007","310106"
"1900046","通常","入庫済","2019/01/29","ゼロワン　個人","ﾌｨｯﾄ","DBA-GE6","GE6-1019271","200712","ｷﾞﾝ","20000","熊本","501","ふ","9956","有","有","有","有","無","無","","","","091800H19000046","310150"
"1800398","通常","入庫済","2018/09/05","フェニックスガレージ","ｳﾞｫｸｼｰ","DBA-ZRR70G","ZRR70-0464271","201112","ｶﾞﾝﾒﾀ","60000","熊本","501","み","129","有","有","有","有","有","無","ﾀｲﾔ","","","091800H18000398","300201"
"1800273","通常","入庫済","2018/06/28","十條石油（株）","ｸﾗｳﾝ･ﾏｼﾞｪｽﾀ","GH-UZS171","UZS171-0003982","199910","ﾊﾟｰﾙ","35000","熊本","330","せ","408","有","有","有","有","有","有","","","","091800H18000273","300633"
"1800301","通常","入庫済","2018/07/10","（株）カーライフ","ｳﾞｨｯﾂ","CBA-SCP13","SCP13-0038657","200405","ﾐｽﾞｲﾛ","23000","熊本","500","め","8424","有","有","無","","無","無","","","","091800H18000301","300723"
"1800353","通常","入庫済","2018/08/07","個人","ｵｰﾊﾟ","TA-ZCT10","ZCT10-0020082","0","ｷﾞﾝ","23000","熊本","500","て","6285","有","有","有","有","有","有","","","","091800H18000353","300819"
"1900062","通常","入庫済","2019/02/02","マツダ八代インター　営業","ﾌｧﾐﾘｱ","E-BHA5P","BHA5P-103136","199408","ｷﾝ","10000","熊本","51","ふ","5997","有","有","無","無","無","無","","","","091800H19000062","310207"
"1900314","通常","入庫済","2019/04/30","日産人吉　営業","ﾉｰﾄ","DBA-E11","E11-740221","201203","ｱｶ","30000","熊本","501","み","7680","無","抹消原本","無","無","無","無","","","","091800H19000314","310478"
"1800417","通常","入庫済","2018/09/13","車検のコバック八代　千丁店","ｱﾙﾄ","LE-HA23V","HA23V-170528","0","ｼﾛ","14000","熊本","41","め","5561","無","抹消原本","無","無","無","無","","","","091800H18000417","300927"
"1900169","通常","入庫済","2019/03/13","全損残価評価システム","ｽｲﾌﾄ","DBA-ZC11S","ZC11S-165514","200605","ｸﾛ","22000","熊本","533","ひ","14","有","有","無","無","無","有","","","","091800H19000169","310338"
"1900090","通常","入庫済","2019/02/18","ガレージセブン","ｷｭｰﾌﾞ","UA-BGZ11","BGZ11-646004","200405","ｷﾞﾝ","20000","熊本","500","も","3598","有","有","有","有","有","無","","","","091800H19000090","310230"
"1900013","通常","入庫済","2019/01/10","（有）カーショップミヤモト","ﾃﾘｵｽｷｯﾄﾞ","GF-J131G","J131G-001442","200002","ｱｵ","13000","熊本","50","め","3097","有","有","無","無","無","無","","","","091800H19000013","310115"
"1900127","通常","入庫済","2019/02/28","日産人吉　営業","ｱｸﾃｨ","V-HA4","HA4-2005485","199108","ｼﾛ","13000","熊本","41","つ","6963","有","有","無","無","無","無","","","","091800H19000127","310268"
"1800375","通常","入庫済","2018/08/22","日産人吉　営業","ｱｸﾃｨ","V-HA3","HA3-2112966","0","ｼﾛ","14000","熊本","41","に","9854","有","有","無","無","無","無","","","","091800H18000376","300847"
"1800145","通常","入庫済","2018/03/27","日産人吉　営業","ｾﾌｨｰﾛ","GF-PA33","PA33-500462","199904","ｼﾛ","30000","熊本","33","む","8143","有","有","無","無","無","無","","","","091800H18000145","300374"
"1800148","通常","入庫済","2018/03/16","くまもと共済　八代営業所","ﾃｨｰﾀﾞ","DBA-C11","C11-431377","201203","ｷﾞﾝ","50000","熊本","501","む","4883","有","有","有","有","有","有","","","","091800H18000148","300339"
"1800285","通常","入庫済","2018/07/07","ＪＡあしきた　車両センター","ﾌｰｶﾞ","CBA-Y50","Y50-109920","200505","ﾊﾟｰﾙ","40000","熊本","342","と","8008","有","有","有","有","有","無","","","","091800H18000285","300551"
"1800287","通常","入庫済","2018/07/07","（株）カーライフ","ｷｬﾘｰ","GD-DA52T","DA52T-237419","200001","ｼﾛ","14000","熊本","480","か","7022","無","有","","","","無","","","","091800H18000287","300613"
"1900019","通常","入庫済","2019/01/12","個人","ﾗﾙｺﾞ","E-CW30","CW30-810318","0","ｺﾝ","27000","熊本","33","ほ","3327","有","有","有","有","有","無","","","","091800H19000019","310116"
"1800151","通常","入庫済","2018/03/22","有限会社　肥後新ボデー","ﾚｶﾞｼｨ","TA-BE5","BE5-122398","200212","ｼﾛ","30000","熊本","501","ら","4335","有","有","有","有","有","有","","","","091800H18000151","300354"
"1800160","通常","入庫済","2018/03/16","（株）ゼロワン　ムギシマSS","ﾗｳﾑ","CBA-NCZ20","NCZ20-0115810","200709","ｵﾚﾝｼﾞ","23000","熊本","501","に","7998","無","抹消原本","無","無","無","無","","","","091800H18000160","300336"
"1800338","通常","入庫済","2018/08/02","日産人吉　営業","ﾜｺﾞﾝR","CBA-MH21S","MH21S-310311","200502","ｸﾛ","14000","熊本","581","つ","8461","有","有","無","無","無","有","","","","091800H18000338","300807"
"1900098","通常","入庫済","2019/02/20","日産人吉　営業","ｽﾄﾘｰﾑ","LA-RN1","RN1-1046202","200101","ｸﾛ","20000","熊本","500","に","2410","有","有","有","有","有","無","","","","091800H19000098","310238"
